ingredient_id,name,category,temperature,taste,target_organs,element_action,role,note
I001,赤貝,魚介類,温,甘,脾,補血,メイン,血を補うほか、おなかを温める、胃の働きを助けるなど
I002,アサリ,魚介類,寒,"甘,鹹","肝,心,肺,腎","清熱,補水",メイン,熱を取ってたんを取る、口の渇きを抑えるなど
I003,アジ,魚介類,温,甘,脾,補熱,メイン,アジは「熱を補う食材」のうちの「温裏類」に分類される / 熱を補うほか、胃を温めるなど
I004,小豆,野菜・ハーブ類,平,"甘,酸","脾,肺,腎",巡水,サポート,水を巡らせるほか、うみを出す、解毒など
I005,アスパラガス,野菜・ハーブ類,温,"甘,苦","肺,腎",補水,サポート,水を補うほか、熱を取る、出血を抑える、 / 腸の働きを助けるなど
I006,アワ,穀類,涼,"甘,鹹",脾,清熱,メイン,熱を取るほか、胃腸の調子を整える、排尿を促す、解毒など
I007,アワビ,魚介類,平,"甘,鹹","肺,腎",補水,メイン,水を補うほか、血を補う、熱を取る、目の働きを助ける、 / 母乳の分泌を助けるなど
I008,イカ,魚介類,平,鹹,"肝,心",補血,メイン,血を補うほか、水を補う、気や血の巡りをよくするなど
I009,イチゴ,フルーツ類,涼,"甘,酸",脾,補水,サポート,水を補うほか、呼吸器を潤す、血を補う、熱を取る、 / 排尿を促す、下痢を抑える、胃腸の働きを助ける、解毒など
I010,イチジク,フルーツ類,平,甘,脾,"清熱,補水",サポート,胃腸の働きを助ける、便通をよくする、呼吸器を潤す、 / せきを抑える、はれものを抑えて解毒するなど
I011,猪肉,肉類,平,"甘,鹹","肺,腎",補水,メイン,水を補うほか、虚弱を補う、解毒など
I012,イワシ,魚介類,温,甘,"脾,肺",補気,メイン,気を補うほか、血を補うなど
I013,イワナ,魚介類,温,甘,"脾,腎",補熱,メイン,イワナは「熱を補う食材」のうちの「補陽類」に分類される / 熱を補うほか、疲労ややせすぎを改善するなど
I014,インゲン,野菜・ハーブ類,平,甘,脾,補気,サポート,気を補うほか、胃腸の調子を整える、 / 余分な水分を取る、暑さをやわらげるなど
I015,ウズラのタマゴ,その他,平,甘,"肺,腎",補水,サポート,水を補うほか、気を補う、血を補う、 / 脳の働きを助けるなど
I016,ウド,野菜・ハーブ類,温,"苦,辛","脾,肺,腎",巡水,サポート,余分な水分を取る、筋肉や骨を強くする、痛みを抑えるなど
I017,ウナギ,魚介類,温,甘,脾,補気,メイン,気を補うほか、虚弱を補う、骨や筋肉を強くする、 / 血を巡らせる、胃や呼吸器の働きを助けるなど
I018,ウニ,魚介類,平,鹹,脾,巡血,メイン,胃酸の分泌を抑えて痛みを抑える、しこりを抑える、 / たんを取る、はれものを抑えるなど
I019,梅,フルーツ類,平,酸,"肺,腎",補水,サポート,せきを抑える、下痢を抑える、水を補って口の渇きを抑えるなど
I020,うるち米,穀類,平,甘,脾,補気,メイン,胃腸の気を補う、口の渇きを抑えるなど
I021,エシャロット,野菜・ハーブ類,温,"苦,辛","肝,脾,肺",巡気,サポート,気を巡らせるほか、熱を巡らせるなど
I022,エビ,魚介類,温,甘,"脾,腎",補熱,メイン,エビは「熱を補う食材」のうちの「補陽類」に分類される / 熱を補うほか、母乳の分泌を助けるなど
I023,オートミール,穀類,平,甘,脾,補気,メイン,オーツ麦を原料にしたシリアルの一種 / 胃腸の気を補うなど
I024,大麦,穀類,涼,"甘,鹹",脾,清熱,メイン,熱を取るほか、消化不良を改善する、 / 胃腸の調子を整える、下痢を抑える、排尿を促す、 / はれものを抑えるなど
I025,おから,その他,涼,甘,脾,清熱,サポート,熱を取る、出血を抑える、胃腸の調子を整えるなど
I026,オクラ,野菜・ハーブ類,涼,"苦,辛",脾,"補水,補気",サポート,胃腸の働きを補い消化不良を改善する、 / 腸を潤して便通をよくするなど
I027,おこげ,その他,平,"甘,苦",脾,補気,サポート,気を補う、胃腸の働きを助ける、消化不良を改善する、 / 下痢を抑えるなど
I028,オタネニンジン（高麗人参、吉林人参）,薬膳特有の食材,温,"甘,苦",脾,補気,メイン,気を強力に補い元気にする、胃腸や呼吸器の働きを助ける、 / 水を補って口の渇きを抑える、 / 精神を安定させて脳の働きを補うなど
I029,オリーブ,野菜・ハーブ類,平,"甘,酸","肝,心",清熱,サポート,熱を取るほか、解毒、のどの働きを助ける、はれものを抑える、 / たんを取るなど
I030,オレンジ,フルーツ類,涼,"甘,酸",脾,巡気,サポート,気を巡らせるほか、胃腸の働きを助ける、 / 水を補い口の渇きを抑える、呼吸器を潤す、酔いをさますなど
I031,海藻（ワカメ、ヒジキなど）,魚介類,寒,鹹,"肝,脾,肺,腎","巡水,巡血",メイン,たんを取る、しこりを抑える、水を巡らせる、 / はれものを抑えるなど
I032,カキ,魚介類,平,"甘,鹹","肺,腎",補水,メイン,水を補うほか、血を補う、精神を安定させる、解毒、 / しこりを抑えるなど
I033,柿,フルーツ類,寒,甘,"肝,心,肺,腎","清熱,補水",サポート,熱を取って呼吸器を潤す、水を補い口の渇きを抑える、 / せきを抑えるなど
I034,花椒、山椒,スパイス類,温,辛,"脾,腎",補熱,サポート,花椒・山椒は「熱を補う食材」のうちの「温裏類」に分類される / 熱を補うほか、おなかを温めて痛みを抑えるなど
I035,カツオ,魚介類,平,甘,脾,補気,メイン,気を補うほか、胃腸の働きを助ける、排尿を促すなど
I036,カニ,魚介類,寒,鹹,"肝,心",清熱,メイン,熱を取るほか、血を巡らせるなど
I037,カブ,野菜・ハーブ類,平,"甘,苦,辛","脾,肺,腎","巡水,補気",サポート,消化不良を改善する、体内にこもった熱と湿気を取るなど
I038,カボチャ,野菜・ハーブ類,温,甘,脾,補気,サポート,気を補うほか、胃腸の働きを助ける、おなかを温める、解毒など
I039,鴨肉,肉類,涼,"甘,鹹",脾,補水,メイン,水を補うほか、胃腸の働きを助ける、 / 余分な水を取ってはれものを抑える、虚弱を補うなど
I040,カリフラワー,野菜・ハーブ類,平,甘,脾,補気,サポート,気を補うほか、胃腸の調子を整える、 / 脳の働きを補うなど
I041,カルダモン,スパイス類,温,辛,"肝,脾,肺,腎","巡水,巡気,補熱",サポート,スパイスの一種として用いられる、芳香性の食材 / おなかの余分な水分を取り除く、気を巡らせておなかの張りを改善する、 / おなかを温めて吐き気を抑えるなど
I042,キウイフルーツ,フルーツ類,寒,"甘,酸",脾,清熱,サポート,熱を取るほか、口の渇きを抑える、胃の調子を整えるなど
I043,菊花,薬膳特有の食材,寒,"甘,苦,辛","肝,心",清熱,メイン,熱を取る、目の働きを助ける、解毒など
I044,キビ,穀類,平,甘,脾,清熱,メイン,熱を取るほか、胃腸の調子を整える、 / 呼吸器の働きを助けるなど
I045,キャベツ,野菜・ハーブ類,平,甘,脾,補気,サポート,気を補うほか、胃の働きを助けるなど
I046,牛肉,肉類,平,甘,脾,補気,メイン,気を補うほか、胃腸の働きを助ける、血を補う、 / 骨や筋肉を強くするなど
I047,牛乳,その他,平,甘,脾,補水,サポート,水を補うほか、虚弱を補う、胃の働きを助けるなど
I048,キュウリ,野菜・ハーブ類,涼,甘,"肝,心",清熱,サポート,熱を取るほか、解毒、口の渇きを抑える、水を巡らせる、 / はれものを抑える、皮膚を潤すなど
I049,杏仁（きょうにん）,薬膳特有の食材,温,苦,"肺,腎",補水,メイン,せきを抑える、腸を潤して便通を促すなど / 【禁忌】多量に用いない、乳児への使用は慎重に
I050,キンカン,フルーツ類,温,"甘,辛","肝,脾,肺",巡気,サポート,気を巡らせるほか、たんを取る、酔いをさますなど
I051,金針菜（きんしんさい）,薬膳特有の食材,涼,甘,"脾,肺,腎",巡水,メイン,ユリ科のホンカンゾウの花のつぼみを乾燥させた食材 / 水を巡らせるほか、熱を取る、解毒、出血を抑える、 / 母乳の分泌を助けるなど
I052,銀杏,野菜・ハーブ類,平,"甘,苦","肺,腎",補水,サポート,たんを取りせきを抑える、頻尿を抑えるなど
I053,空心菜,野菜・ハーブ類,寒,甘,"肝,心,脾,肺,腎","清熱,巡水",サポート,出血を抑える、便通をよくする、熱を取る、 / 水を巡らせる、解毒など
I054,クコの実,薬膳特有の食材,平,甘,"肺,腎",補水,メイン,水を補うほか、滋養強壮、目の働きを助ける、 / 呼吸器を潤してせきを抑えるなど
I055,くず（葛根）,薬膳特有の食材,涼,"甘,辛","肺,腎",補水,メイン,くずの根から取ったでんぷん / かぜの発熱を抑える、水を補って口の渇きを抑えるなど
I056,クラゲ,魚介類,平,鹹,"肝,心,肺,腎","清熱,巡血,補水",メイン,たんを取る、しこりを抑える、熱を取る、腸を潤す、 / 解毒、水を補う、せきを抑えるなど
I057,栗,ナッツ類,温,甘,脾,補気,サポート,気を補うほか、胃腸の働きを助ける、血を巡らせる、 / 出血を抑えるなど
I058,グリンピース,野菜・ハーブ類,平,甘,脾,巡気,サポート,気を巡らせるほか、胃腸の調子を整える、 / 排尿を促して余分な水分を取る、解毒、胃腸の気を補うなど
I059,クルミ,ナッツ類,温,甘,"脾,腎",補熱,サポート,クルミは「熱を補う食材」のうちの「補陽類」に分類される / 熱を補うほか、呼吸器を温める、腸を潤して便通をよくするなど
I060,クローブ,スパイス類,熱,辛,"脾,腎",補熱,サポート,クローブは「熱を補う食材」のうちの「温裏類」に分類される / 熱を補うほか、おなかを温めて吐き気やげっぷなどを抑える、 / 寒さをやわらげて痛みを抑えるなど
I061,黒キクラゲ,薬膳特有の食材,平,甘,脾,補水,メイン,出血を抑える、呼吸器を潤す、胃の働きを助ける、 / 便通を促すなど
I062,黒ゴマ,ナッツ類,平,甘,"肺,腎",補水,サポート,水を補うほか、血を補う、腸を潤すなど
I063,黒砂糖,その他,温,甘,"脾,腎",補熱,サポート,黒砂糖は「熱を補う食材」のうちの「温裏類」に分類される / 熱を補うほか、おなかを温めて虚弱を補う、痛みを抑える、 / 血を巡らせる、月経を調節するなど
I064,黒豆,野菜・ハーブ類,平,甘,"脾,肺,腎",巡水,サポート,水を巡らせるほか、血を巡らせる、水を補う、血を補う、 / 解毒など
I065,クワイ,野菜・ハーブ類,寒,"甘,苦",肝,巡血,サポート,血を巡らせるほか、たんを取る、せきを抑えるなど
I066,クワの実,フルーツ類,寒,"甘,酸","肺,腎",補水,サポート,水を補うほか、血を補うなど
I067,紅花（こうか、べにばな）,薬膳特有の食材,温,辛,肝,巡血,メイン,血を巡らせるほか、痛みを抑えるなど / 【禁忌】血を巡らせる性質が強いため、妊娠中や月経過多の / 場合は使用は控える
I068,氷砂糖,その他,平,甘,脾,"補水,補気",サポート,呼吸器を潤す、胃腸の気を補う、せきを抑える、 / たんを取る、水を補う、汗を抑えるなど
