question_id,question_text,organ,element,state,weight,note
Q001,顔色が白っぽい,脾,血,不足,1,顔色
Q002,顔色が青白い,肺,気,不足,1,顔色
Q003,顔色が黄色っぽい,脾,気,不足,1,顔色
Q004,顔色が青紫っぽい,肝,血,停滞,1,顔色
Q005,顔色が暗い,腎,血,不足,1,顔色
Q006,ほほが赤い,心,熱,過剰,1,顔色
Q007,赤ら顔,心,熱,過剰,1,顔色
Q008,肌がたるみがちだ,脾,気,不足,1,肌や筋肉の状態
Q009,肌が乾燥している,肺,水,不足,1,肌や筋肉の状態
Q010,むくんでいる,脾,水,停滞,1,肌や筋肉の状態
Q011,クマやシミが目立つ,肝,血,停滞,1,肌や筋肉の状態
Q012,ニキビが出やすい,心,熱,過剰,1,肌や筋肉の状態
Q013,筋肉がよくつる,肝,血,不足,1,肌や筋肉の状態
Q014,軟便の傾向がある,脾,気,不足,1,便の状態
Q015,下痢をしやすい,脾,気,不足,1,便の状態
Q016,硬秘がちだ,肺,水,不足,1,便の状態
Q017,便が乾燥している,肺,水,不足,1,便の状態
Q018,便の色が黒っぽい,肝,血,停滞,1,便の状態
Q019,疲れやすい,脾,気,不足,1,体調
Q020,かぜをひきやすい,肺,気,不足,1,体調
Q021,汗をよくかく,肺,気,不足,1,体調
Q022,めまいが起こる,肝,血,不足,1,体調
Q023,動悸がよく起こる,心,血,不足,1,体調
Q024,寝つきが悪い、眠りが浅い,心,血,不足,1,体調
Q025,のどがよく渇く,肺,水,不足,1,体調
Q026,暑がり、のぼせやすい,心,熱,過剰,1,体調
Q027,冷えやすい,腎,熱,不足,1,体調
Q028,おなかが冷えて痛むことがある,脾,熱,不足,1,体調
Q029,精神的な不安定、イライラがある,肝,気,停滞,1,体調
Q030,胸、わき、おなかなどが張る,肝,気,停滞,1,体調
Q031,食欲がない,脾,気,不足,1,体調
Q032,チクチクと針で刺すような痛みがある,肝,血,停滞,1,体調
Q033,はれものができやすい,心,熱,過剰,1,体調
Q034,頭痛、または胸の痛みがよく起こる,肝,血,停滞,1,体調
Q035,膨満感、または胸のつかえがよく起こる,脾,気,停滞,1,体調
Q036,たんが多い,肺,水,停滞,1,体調
Q037,食欲旺盛で、食べる量が多い,胃,熱,過剰,1,体調
